name,carbs,fats,proteins
APPLE JUC.FRZ CONC.UNSWTND.DIL W/3 VOLUME H2O.W/ VIT C,11.54,0.1,0.14
APPLE JUC.FRZ CONC.UNSWTND.UNDIL.W/ VIT C,41,0.37,0.51
APPLE JUC.FRZ CONC.UNSWTND.UNDIL.WO/ VIT C,41,0.37,0.51
APPLEBEE'S.9 OZ HOUSE SIRLOIN STEAK,0,9.08,26.85
APPLEBEE'S.CHICK TENDERS PLATTER,17.98,16.24,19.62
APPLEBEE'S.CHICK TENDERS.FROM KIDS' MENU,18.36,16.15,19.25
APPLEBEE'S.CHILI,4.57,9.79,12.56
APPLEBEE'S.COLESLAW,13.17,7.09,0.79
APPLEBEE'S.CRUNCHY ONION RINGS,40.17,19.61,4.58
APPLEBEE'S.DOUBLE CRUNCH SHRIMP,25.96,18.9,12.31
APPLEBEE'S.FISH.HAND BATTERED,16.65,9.14,13.23
APPLEBEE'S.FRENCH FR,39.5,13.17,3.31
APPLEBEE'S.KRAFT.MACARONI & CHS.FROM KID'S MENU,21.08,4.34,5.01
APPLEBEE'S.MOZZARELLA STKS,22.87,18.37,14.87
APPLES.CND.SWTND.SLICED.DRND.HTD,16.84,0.43,0.18
APPLES.CND.SWTND.SLICED.DRND.UNHTD,16.7,0.49,0.18
APPLES.DEHYD (LO MOIST).SULFURED.STWD,19.91,0.12,0.28
APPLES.DEHYD (LO MOIST).SULFURED.UNCKD,93.53,0.58,1.32
APPLES.DRIED.SULFURED.STWD.W/ SUGAR,20.73,0.07,0.2
APPLES.DRIED.SULFURED.STWD.WO/ SUGAR,15.32,0.07,0.22
APPLES.DRIED.SULFURED.UNCKD,65.89,0.32,0.93
APPLES.FRZ.UNSWTND.HTD,12,0.33,0.29
APPLES.FRZ.UNSWTND.UNHTD,12.31,0.32,0.28
APPLES.RAW.FUJI.W/ SKN,15.22,0.18,0.2
APPLES.RAW.GALA.W/ SKN,13.68,0.12,0.25
APPLES.RAW.GOLDEN DELICIOUS.W/ SKN,13.6,0.15,0.28
APPLES.RAW.GRANNY SMITH.W/ SKN,13.61,0.19,0.44
APPLES.RAW.RED DELICIOUS.W/ SKN,14.06,0.2,0.27
APPLES.RAW.WITH SKIN,13.81,0.17,0.26
APPLES.RAW.WITHOUT SKIN,12.76,0.13,0.27
APPLES.RAW.WO/ SKN.CKD.MICROWAVE,14.41,0.42,0.28
APPLES.RAW.WO/SKN.CKD.BLD,13.64,0.36,0.26
APPLESAUCE.CND.SWTND.W/SALT,19.91,0.18,0.18
APPLESAUCE.CND.SWTND.WO/ SALT (INCLUDES USDA COMMODITY),17.49,0.17,0.16
APPLESAUCE.CND.UNSWTND.W/ VIT C,11.27,0.1,0.17
APPLESAUCE.CND.UNSWTND.WO/ADDED VIT C (INCLUDES USDA COMMOD),11.27,0.1,0.17
APRICOT NECTAR.CND.W/ VIT C,14.39,0.09,0.37
APRICOT NECTAR.CND.WO/ VIT C,14.39,0.09,0.37
APRICOTS.CND.EX HVY SYRUP PK.WO/SKN.SOL&LIQUIDS,24.85,0.04,0.55
APRICOTS.CND.EX LT SYRUP PK.W/SKN.SOL&LIQUIDS,12.5,0.1,0.6
APRICOTS.CND.H2O PK.W/SKN.SOL&LIQUIDS,6.39,0.16,0.71
APRICOTS.CND.H2O PK.WO/SKN.SOL&LIQUIDS,5.48,0.03,0.69
APRICOTS.CND.HVY SYRUP PK.W/SKN.SOL&LIQUIDS,21.47,0.08,0.53
APRICOTS.CND.HVY SYRUP PK.WO/SKN.SOL&LIQUIDS,21.45,0.09,0.51
APRICOTS.CND.HVY SYRUP.DRND,21.31,0.11,0.64
APRICOTS.CND.JUC PK.W/SKN.SOL&LIQUIDS,12.34,0.04,0.63
APRICOTS.CND.LT SYRUP PK.W/SKN.SOL&LIQUIDS,16.49,0.05,0.53
APRICOTS.DEHYD (LOW-MOISTURE).SULFURED.STWD,32.62,0.24,1.93
APRICOTS.DEHYD (LOW-MOISTURE).SULFURED.UNCKD,82.89,0.62,4.9
APRICOTS.DRIED.SULFURED.STWD.W/ SUGAR,29.26,0.15,1.17
APRICOTS.DRIED.SULFURED.STWD.WO/ SUGAR,22.15,0.18,1.2
APRICOTS.DRIED.SULFURED.UNCKD,62.64,0.51,3.39
APRICOTS.FROZEN.SWEETENED,25.1,0.1,0.7
APRICOTS.RAW,11.12,0.39,1.4
ARBY'S.RST BF SNDWCH.CLASSIC,22.21,10.3,15.17
ARCHWAY Home Style Cookies. Chocolate Chip Ice Box,65.02,24.4,4.28
ARCHWAY Home Style Cookies. Coconut Macaroon,61.23,22.55,3.02
ARCHWAY Home Style Cookies. Date Filled Oatmeal,68.16,12.05,4.67
ARCHWAY Home Style Cookies. Dutch Cocoa,69.44,14.99,4.5
ARCHWAY Home Style Cookies. Iced Molasses,69.12,14.43,3.5
ARCHWAY Home Style Cookies. Iced Oatmeal,66.76,16.53,4.89
ARCHWAY Home Style Cookies. Molasses,69.41,12.06,4.25
ARCHWAY Home Style Cookies. Oatmeal,68.17,14.08,5.48
ARCHWAY Home Style Cookies. Oatmeal Raisin,69.27,12.08,5.17
ARCHWAY Home Style Cookies. Old Fashioned Molasses,70.55,11.83,4.27
ARCHWAY Home Style Cookies. Old Fashioned Windmill Cookies,72.23,17.55,5.17
